#TYPE Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition
"Name","Id","IsCustom","Description","Actions","NotActions","DataActions","NotDataActions","AssignableScopes"
"Data Box Reader","028f4ed7-e2a9-465e-a8f4-9c0ffdfdc027","False","Lets you manage Data Box Service except creating order or editing order details and giving access to others.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Data Factory Contributor","673868aa-7521-48a0-acc6-0f60742d39f5","False","Create and manage data factories, as well as child resources within them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Data Lake Analytics Developer","47b7735b-770e-4598-a7da-8b91488b4c88","False","Lets you submit, monitor, and manage your own jobs but not create or delete Data Lake Analytics accounts.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Data Purger","150f5e0c-0603-4f03-8c7f-cf70034c4e90","False","Can purge analytics data","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"DevTest Labs User","76283e04-6283-4c54-8f91-bcf1374a3c64","False","Lets you connect, start, restart, and shutdown your virtual machines in your Azure DevTest Labs.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"DNS Zone Contributor","befefa01-2a29-4197-83a8-272ff33ce314","False","Lets you manage DNS zones and record sets in Azure DNS, but does not let you control who has access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"DocumentDB Account Contributor","5bd9cd88-fe45-4216-938b-f97437e15450","False","Lets you manage DocumentDB accounts, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"EventGrid EventSubscription Contributor (Preview)","428e0ff0-5e57-4d9c-a221-2c70d0e0a443","False","Lets you manage EventGrid event subscription operations.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"EventGrid EventSubscription Reader (Preview)","2414bbcf-6497-4faf-8c65-045460748405","False","Lets you read EventGrid event subscriptions.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"HDInsight Domain Services Contributor","8d8d5a11-05d3-4bda-a417-a08778121c7c","False","Can Read, Create, Modify and Delete Domain Services related operations needed for HDInsight Enterprise Security Package","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Intelligent Systems Account Contributor","03a6d094-3444-4b3d-88af-7477090a9e5e","False","Lets you manage Intelligent Systems accounts, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Key Vault Contributor","f25e0fa2-a7c8-4377-a976-54943a77a395","False","Lets you manage key vaults, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
